source,target,similarity,weight
1068,1189,0.8597720938068775,0.9298860469034387
1041,1044,0.8595926152094726,0.9297963076047363
474,672,0.8594581400874809,0.9297290700437404
152,809,0.8593368549497816,0.9296684274748908
1081,1082,0.8590857818843539,0.929542890942177
1054,1063,0.8590629996164346,0.9295314998082174
80,105,0.8589726151150042,0.9294863075575022
306,336,0.8589125080349568,0.9294562540174784
758,933,0.8588966653182103,0.9294483326591052
89,96,0.8587802964675403,0.9293901482337701
1123,1140,0.8587617186148837,0.9293808593074419
641,989,0.858760544260133,0.9293802721300666
633,642,0.8585699060170413,0.9292849530085207
840,850,0.8585670662273162,0.9292835331136581
17,55,0.8583855929967567,0.9291927964983784
346,356,0.8578414250023507,0.9289207125011754
192,801,0.8577375094585984,0.9288687547292992
853,997,0.8577064911125897,0.9288532455562948
315,330,0.8573968488089762,0.928698424404488
194,818,0.857370023440077,0.9286850117200385
70,242,0.8572665851747711,0.9286332925873855
720,735,0.8567828297696409,0.9283914148848205
606,616,0.8566218121971325,0.9283109060985663
1013,1113,0.856530927322666,0.928265463661333
241,275,0.8564073058137107,0.9282036529068554
422,442,0.8563461232074883,0.9281730616037441
858,862,0.8560439934330167,0.9280219967165084
487,567,0.8559623817380249,0.9279811908690124
830,956,0.8559551547123886,0.9279775773561942
243,257,0.8558625570339028,0.9279312785169513
301,392,0.8557069303874338,0.9278534651937169
365,391,0.8556680483597836,0.9278340241798918
572,689,0.8555841538583695,0.9277920769291848
359,430,0.8555672149241573,0.9277836074620787
764,917,0.855185304036268,0.927592652018134
298,701,0.8551204898370977,0.9275602449185488
385,466,0.8550614394042854,0.9275307197021427
365,445,0.8550445770789131,0.9275222885394565
89,105,0.8546047513524969,0.9273023756762484
181,815,0.8545156358218603,0.9272578179109301
1027,1175,0.8544409418648738,0.927220470932437
308,374,0.8544261364257978,0.927213068212899
626,931,0.8542490943784501,0.9271245471892251
615,697,0.8540244927233597,0.9270122463616799
301,460,0.8537974778400641,0.926898738920032
303,389,0.8536335566168092,0.9268167783084046
301,403,0.8531141310196311,0.9265570655098155
1073,1095,0.8531120219798999,0.92655601098995
1099,1156,0.8530157135512102,0.9265078567756051
226,264,0.8529480894997605,0.9264740447498803
665,696,0.8528628511382849,0.9264314255691424
801,979,0.8528210607046565,0.9264105303523282
153,158,0.8526717097227694,0.9263358548613847
744,748,0.852508658211662,0.9262543291058309
382,389,0.8523627765338773,0.9261813882669386
661,711,0.8523502932385018,0.9261751466192509
99,221,0.8523322948644855,0.9261661474322427
653,975,0.8522811499520554,0.9261405749760276
316,330,0.8521548831825365,0.9260774415912683
352,380,0.8519185757484772,0.9259592878742386
675,716,0.8517456795706707,0.9258728397853353
1026,1058,0.8514776706535742,0.925738835326787
202,275,0.8513205565135331,0.9256602782567666
392,411,0.8512569585587823,0.9256284792793912
500,501,0.851216429027176,0.925608214513588
16,758,0.8511556820602412,0.9255778410301205
9,797,0.8511042517780072,0.9255521258890036
298,860,0.850836185666297,0.9254180928331486
314,333,0.850829455493295,0.9254147277466476
1055,1156,0.8507447773495538,0.9253723886747769
1027,1089,0.8506478315246235,0.9253239157623118
1080,1098,0.8505446075462313,0.9252723037731156
701,860,0.8504236149117663,0.9252118074558832
655,666,0.8501688545516779,0.925084427275839
1098,1144,0.8499947104088333,0.9249973552044166
315,335,0.8499095492540564,0.9249547746270281
827,858,0.8498622603155312,0.9249311301577656
25,821,0.849493446495478,0.924746723247739
9,718,0.8494151868564395,0.9247075934282197
1172,1192,0.849405637999874,0.924702818999937
340,405,0.8493826200955011,0.9246913100477505
309,382,0.8491383307915136,0.9245691653957568
209,213,0.8490961284827299,0.9245480642413649
319,333,0.8487994047522359,0.9243997023761179
330,341,0.8487806226576577,0.9243903113288289
201,468,0.8484519876088803,0.9242259938044401
44,760,0.8484165523912249,0.9242082761956125
